Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Cumulative PnL
2021-05-11,2021-06-02,311.8880310058594,319.2515563964844,7.363525390625,7.363525390625
2021-06-04,2021-06-24,331.0628967285156,330.766357421875,-0.296539306640625,7.066986083984375
2021-10-04,2021-11-03,338.03106689453125,479.272705078125,141.24163818359375,148.30862426757812
2021-11-16,2021-11-22,513.0264282226562,480.45880126953125,-32.567626953125,115.74099731445312
2022-01-03,2022-01-04,491.8253173828125,483.9181823730469,-7.907135009765625,107.8338623046875
2022-01-10,2022-01-24,497.85455322265625,472.8975830078125,-24.95697021484375,82.87689208984375
2022-05-30,2022-06-13,437.2658996582031,401.9802551269531,-35.28564453125,47.59124755859375
2022-07-07,2022-08-23,425.8499755859375,455.1064453125,29.2564697265625,76.84771728515625
2023-01-16,2023-01-19,408.20709228515625,396.0992431640625,-12.10784912109375,64.7398681640625
2023-01-25,2023-02-16,414.1868896484375,436.4751892089844,22.288299560546875,87.02816772460938
2023-03-06,2023-03-08,434.99261474609375,434.201904296875,-0.79071044921875,86.23745727539062
2023-04-06,2023-08-03,432.571044921875,613.6737670898438,181.10272216796875,267.3401794433594
2023-09-08,2023-09-28,621.9029541015625,608.8650512695312,-13.03790283203125,254.30227661132812
2023-10-12,2023-10-26,631.5203247070312,621.2089233398438,-10.3114013671875,243.99087524414062
2023-11-15,2023-12-20,665.8253173828125,699.2380981445312,33.41278076171875,277.4036560058594
